1,1
18,3
21,4
22,5
34,8
36,9
41,10
52,13
62,15
68,16
70,17
82,19
107,21
110,22
111,23
145,27
150,28
153,29
161,31
162,32
163,33
169,35
179,36
184,37
198,39
203,40
216,41
223,42
225,43
230,44
232,45
233,46
235,47
246,48
252,49
260,50
266,51
288,53
292,54
296,56
299,57
300,58
306,59
307,60
308,61
316,62
339,66
344,67
356,69
357,70
368,73
404,75
431,76
466,80
497,83
512,84
539,88
541,89
543,90
555,92
562,93
589,96
594,99
608,100
610,101
631,103
634,104
637,105
640,106
650,107
663,108
671,109
688,110
711,112
728,116
736,118
759,119
762,120
780,121
800,124
802,125
861,128
869,130
902,131
920,133
923,134
924,135
954,136
994,137
1005,138
1015,140
1019,141
1031,142
1036,144
1038,146
1056,149
1060,150
1073,151
1077,152
1080,154
1621,155
1088,155
1089,156
1090,157
1091,158
1092,159
1095,160
1101,161
1124,162
1131,165
1135,167
1172,170
1175,171
1198,174
1199,175
1200,176
1203,178
1208,180
1210,181
1213,182
1214,183
1215,184
1219,185
1222,188
1224,190
1225,191
1228,192
1246,196
1249,198
1261,201
1265,202
1266,203
1270,204
1272,205
1274,206
1277,207
1278,208
1288,209
1291,210
1294,211
1298,214
1302,215
1307,216
1339,217
1343,218
1354,221
1356,222
1365,224
1367,225
1370,226
1372,227
1375,229
1376,230
1377,231
1378,232
1387,234
1391,235
1392,236
1393,237
1394,238
1396,239
1405,240
1446,242
1480,244
1495,247
1500,248
1517,249
1537,251
480,252
1569,255
1580,257
1584,258
1586,259
1615,260
1603,261
1604,262
1617,263
1626,264
1491,268
17,275
25,276
43,277
74,278
83,279
140,280
838,283
852,284
1041,285
1399,287
1416,289
1425,290
1459,291
1465,292
1466,293
1518,295
1573,298
1632,299
1594,300
1560,303
1590,306
475,317
527,318
1057,319
1361,320
1422,322
1438,323
1464,324
1483,325
1623,326
1613,327
1609,328
1602,330
1610,348
1193,357
1607,358
9,363
19,364
24,365
31,366
39,367
65,368
88,369
92,370
171,372
173,373
181,374
193,375
248,376
250,377
277,378
328,379
329,380
342,381
370,384
380,385
410,386
420,388
421,389
449,390
485,391
500,393
513,394
520,395
532,396
544,397
546,398
592,403
596,404
648,405
742,406
743,407
785,410
921,414
1012,416
